Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13",0805,2,0.1uF,
"C10, C11, C18, C19, C6, C7",0805,6,1uF,
"C12, C14",0805,2,22pF,
"C15, C8",0805,2,3.3uF,
"C16, C17",0805,2,100pF,
"C2, C3",0805,2,220uF,
"C4, C5",0805,2,22nF,
C9,CAP_EEEHB1H2R2R,1,2.2uF,
"D1, D2",0805,2,LED,
J1,PinHeader_2x03_P2.54mm_Vertical,1,J1,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-23,1,USB_C_Receptacle_USB2.0_16P,
J3,CUI_SJ-435107,1,SJ-435107,
L1,0805,1,1uH,
"R1, R2",0805,2,5.1k,
"R10, R11, R12",0805,3,1K,
R13,0805,1,1M,
"R14, R15",0805,2,22R,
R16,0805,1,1.5k,
"R3, R4, R5, R6",0805,4,3.3k,
"R7, R8",0805,2,16R,
R9,0805,1,10k,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,MIC_GAIN,
SW2,PinHeader_1x02_P2.54mm_Vertical,1,MIC_MUTE,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,QFP80P900X900X120-32N,1,PCM2912APJTR,
Y1,Crystal_HC49-4H_Vertical,1,6MHz,
